name*,version*,license*,copyrights*,end-of-support,dependencies,language,repository,email,URL
@angular-devkit/build-angular,,MIT,"Copyright (c) 2017 Google Inc.",,,,,,
@angular/animations,,MIT,"Copyright (c) 2017 Google Inc.",,,,,,
@angular/common,,MIT,"Copyright (c) 2017 Google Inc.",,,,,,
@angular/core,,MIT,"Copyright (c) 2017 Google Inc.",,,,,,
@angular/forms,,MIT,"Copyright (c) 2017 Google Inc.",,,,,,
@angular/platform-browser,,MIT,"Copyright (c) 2017 Google Inc.",,,,,,
@angular/router,,MIT,"Copyright (c) 2017 Google Inc.",,,,,,
@angular/common,,MIT,"Copyright (c) 2017 Google Inc.",,,,,,
@angular/core,,MIT,"Copyright (c) 2017 Google Inc.",,,,,,
@angular/forms,,MIT,"Copyright (c) 2017 Google Inc.",,,,,,
@angular/platform-browser,,MIT,"Copyright (c) 2017 Google Inc.",,,,,,
@ng-bootstrap/ng-bootstrap,,MIT,"Copyright (c) 2015-2018 Angular ng-bootstrap team",,,,,,
@ng-select/ng-select,,MIT,"Copyright (c) 2015-2018 Angular ng-bootstrap team",,,,,,
angular2-text-mask,,Unlicense,"",,,,,,
base64-js,,MIT,"Copyright (c) 2014 Jameson Little",,,,,,
buffer,,MIT,"Copyright (c) Feross Aboukhadijeh, and other contributors.",,,,,,
core-js,,MIT,"Copyright (c) 2014-2020 Denis Pushkarev",,,,,,
deepmerge,,MIT,"Copyright (c) 2012 James Halliday, Josh Duff, and other contributors",,,,,,
get-deep-value,,MIT,"Copyright (c) 2019 Jesse Tessmer",,,,,,
http-status-codes,,MIT,"",,,,,,
ieee754,,BSD-3-Clause,"Copyright 2008 Fair Oaks Labs, Inc.",,,,,,
inherits,,ISC,"Copyrighng-keyboard-shortcutst (c) Isaac Z. Schlueter",,,,,,
moment,,MIT,"Copyright (c) JS Foundation and other contributors",,,,,,
ng-keyboard-shortcuts,,MIT,"Copyright (c) 2018 Scott Cooper",,,,,,
ngx-spinner,,MIT,"Copyright (c) 2018 Scott Cooper",,,,,,
ngx-toastr,,MIT,"Copyright (c) 2018 Scott Cooper",,,,,,
regenerator-runtime,,MIT,"Copyright (c) 2014-present, Facebook, Inc.",,,,,,
rxjs,,Apache-2.0,"",,,,,,
text-mask-core,,Unlicense,"",,,,,,
tslib,,Apache-2.0,"",,,,,,
util,,MIT,"Copyright Joyent, Inc. and other Node contributors",,,,,,
webpack,,MIT,"Copyright JS Foundation and other contributors",,,,,,
xlsx,,Apache-2.0,"",,,,,,
zone.js,,MIT,"Copyright (c) 2016-2018 Google, Inc.",,,,,,
